Start;End;AccountCode;SecurityId; Time ms
01-01-2012 00:00:00;31-03-2012 00:00:00;1103;1007369; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1103;1003292; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1103;1008544; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1103;1002483; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1103;1001924; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1103;1001425; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1103;1003015; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1103;1000941; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1103;1001021; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1103;1009221; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1103;1003587; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1103;1007682; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1125;1000600; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1125;1002163; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1125;1002185; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1125;1002037; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1125;1001032; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1125;1007182; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1125;1002243; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1125;1007173; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1125;1001289; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1125;1002521; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1125;1007556; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1125;1001277; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1125;1001681; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1125;1005940; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1125;1003365; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1125;1005267; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1125;1003364; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1125;1003362; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1125;1007369; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1125;1003292; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1125;1008544; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1125;1002483; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1125;1001924; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1125;1001425; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1125;1003015; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1125;1000941; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1125;1001021; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1125;1009221; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1125;1003587; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1125;1007682; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1290;1000600; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1290;1002163; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1290;1002185; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1290;1002037; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1290;1001032; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1290;1007182; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1290;1002243; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1290;1007173; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1290;1001289; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1290;1002521; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1290;1007556; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1290;1001277; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1290;1001681; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1290;1005940; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1290;1003365; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1290;1005267; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1290;1003364; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1290;1003362; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1290;1007369; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1290;1003292; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1290;1008544; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1290;1002483; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1290;1001924; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1290;1001425; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1290;1003015; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1290;1000941; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1290;1001021; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1290;1009221; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1290;1003587; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1290;1007682; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1038;1000600; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1038;1002163; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1038;1002185; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1038;1002037; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1038;1001032; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1038;1007182; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1038;1002243; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1038;1007173; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1038;1001289; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1038;1002521; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1038;1007556; 0
01-01-2012 00:00:00;31-03-2012 00:00:00;1038;1001277; 0
